,0,tweets,positive_words_count,negative_words_count,positive_words,negative_words,over all sentiment
0,"['volunteers', 'pakistani', 'charity', 'organization', 'distribute', 'food', 'people', 'affect', 'covid', 'pandemic', 'islamabad', 'http', 'asiaalbum']","['volunteers', 'pakistani', 'charity', 'organization', 'distribute', 'food', 'people', 'affect', 'covid', 'pandemic', 'islamabad', 'http', 'asiaalbum']",1,1,",distribute",",pandemic",neutral
1,"['covid', 'infection', 'chinese', 'mainland', 'tuesday', 'http', 'imported', 'case', 'guangdong', 'domestically', 'transmit', 'case', 'person', 'discharge', 'hospital', 'patient', 'treat', 'confirm', 'case', 'amp', 'death', 'total']","['covid', 'infection', 'chinese', 'mainland', 'tuesday', 'http', 'imported', 'case', 'guangdong', 'domestically', 'transmit', 'case', 'person', 'discharge', 'hospital', 'patient', 'treat', 'confirm', 'case', 'amp', 'death', 'total']",2,5,",discharge,treat",",infection,case,case,case,death",negative
2,"['coronavirus', 'watch', 'june', 'http', 'spain', 'new', 'covid', 'death', 'nd', 'straight', 'day', 'europe', 'based', 'airline', 'start', 'resume', 'service', 'france', 'new', 'single', 'day', 'death', 'uk', 'death', 'hit', 'another', 'patient', 'die', 'chile', 'case', 'top']","['coronavirus', 'watch', 'june', 'http', 'spain', 'new', 'covid', 'death', 'nd', 'straight', 'day', 'europe', 'based', 'airline', 'start', 'resume', 'service', 'france', 'new', 'single', 'day', 'death', 'uk', 'death', 'hit', 'another', 'patient', 'die', 'chile', 'case', 'top']",1,5,",top",",death,death,death,die,case",negative
3,"['latest', 'count', 'confirmed', 'covid', 'case', 'worldwide', 'gmt', 'june', 'johns', 'hopkins', 'university', 'world', 'u', 'brazil', 'russia', 'britain', 'spain', 'italy', 'india', 'france', 'germany', 'peru']","['latest', 'count', 'confirmed', 'covid', 'case', 'worldwide', 'gmt', 'june', 'johns', 'hopkins', 'university', 'world', 'u', 'brazil', 'russia', 'britain', 'spain', 'italy', 'india', 'france', 'germany', 'peru']",0,1,,",case",negative
4,"['mass', 'protest', 'u', 'death', 'black', 'man', 'georgefloyd', 'may', 'speed', 'covid', 'transmission', 'expert', 'warn', 'http']","['mass', 'protest', 'u', 'death', 'black', 'man', 'georgefloyd', 'may', 'speed', 'covid', 'transmission', 'expert', 'warn', 'http']",0,3,,",mass,protest,death",negative
5,"['coronavirus', 'late', 'europe', 'http', 'uk', 'covid', 'death', 'hit', 'italy', 'death', 'toll', 'climb', 'spain', 'report', 'new', 'death', 'nd', 'consecutive', 'day', 'france', 'enters', 'nd', 'phase', 'ease', 'restriction']","['coronavirus', 'late', 'europe', 'http', 'uk', 'covid', 'death', 'hit', 'italy', 'death', 'toll', 'climb', 'spain', 'report', 'new', 'death', 'nd', 'consecutive', 'day', 'france', 'enters', 'nd', 'phase', 'ease', 'restriction']",1,5,",ease",",death,death,toll,death,restriction",negative
6,"['u', 'high', 'unemployment', 'largely', 'due', 'poor', 'management', 'covid', 'pandemic', 'federal', 'government', 'economist', 'say', 'http']","['u', 'high', 'unemployment', 'largely', 'due', 'poor', 'management', 'covid', 'pandemic', 'federal', 'government', 'economist', 'say', 'http']",0,2,,",poor,pandemic",negative
7,"['kenya', 'launch', 'virtual', 'safari', 'live', 'stream', 'campaign', 'showcase', 'country', 'wildlife', 'six', 'week', 'expedition', 'across', 'country', 'help', 'connect', 'traveler', 'kenya', 'restricted', 'movement', 'due', 'covid', 'pandemic', 'http']","['kenya', 'launch', 'virtual', 'safari', 'live', 'stream', 'campaign', 'showcase', 'country', 'wildlife', 'six', 'week', 'expedition', 'across', 'country', 'help', 'connect', 'traveler', 'kenya', 'restricted', 'movement', 'due', 'covid', 'pandemic', 'http']",1,2,",help",",restricted,pandemic",negative
8,"['update', 'wuhan', 'screen', 'nearly', 'mln', 'people', 'citywide', 'covid', 'test', 'national', 'resource', 'pull', 'support', 'citywide', 'drive', 'batch', 'testing', 'mix', 'five', 'sample', 'single', 'test', 'employ', 'improve', 'efficiency', 'http']","['update', 'wuhan', 'screen', 'nearly', 'mln', 'people', 'citywide', 'covid', 'test', 'national', 'resource', 'pull', 'support', 'citywide', 'drive', 'batch', 'testing', 'mix', 'five', 'sample', 'single', 'test', 'employ', 'improve', 'efficiency', 'http']",3,0,",screen,support,improve",,positive
9,"['number', 'confirmed', 'covid', 'case', 'across', 'african', 'continent', 'surpass', 'mark', 'tuesday', 'accord', 'africa', 'centers', 'disease', 'control', 'prevention', 'http']","['number', 'confirmed', 'covid', 'case', 'across', 'african', 'continent', 'surpass', 'mark', 'tuesday', 'accord', 'africa', 'centers', 'disease', 'control', 'prevention', 'http']",1,2,",surpass",",case,surpass",negative
10,"['namibia', 'beef', 'export', 'int', 'l', 'market', 'affect', 'covid', 'pandemic', 'even', 'export', 'beef', 'availability', 'might', 'reduce', 'farmer', 'de', 'stocked', 'last', 'year', 'due', 'drought', 'major', 'beef', 'exporter', 'http']","['namibia', 'beef', 'export', 'int', 'l', 'market', 'affect', 'covid', 'pandemic', 'even', 'export', 'beef', 'availability', 'might', 'reduce', 'farmer', 'de', 'stocked', 'last', 'year', 'due', 'drought', 'major', 'beef', 'exporter', 'http']",0,2,,",pandemic,drought",negative
11,"['wuhan', 'spend', 'mln', 'yuan', 'citywide', 'covid', 'test', 'city', 'health', 'commission', 'say', 'test', 'voluntary', 'free', 'cost', 'bear', 'city', 'district', 'government', 'http']","['wuhan', 'spend', 'mln', 'yuan', 'citywide', 'covid', 'test', 'city', 'health', 'commission', 'say', 'test', 'voluntary', 'free', 'cost', 'bear', 'city', 'district', 'government', 'http']",2,0,",voluntary,free",,positive
12,"['confirm', 'covid', 'case', 'find', 'wuhan', 'citywide', 'nucleic', 'acid', 'test', 'nearly', 'mln', 'people', 'http']","['confirm', 'covid', 'case', 'find', 'wuhan', 'citywide', 'nucleic', 'acid', 'test', 'nearly', 'mln', 'people', 'http']",0,1,,",case",negative
13,"['central', 'china', 'wuhan', 'test', 'nearly', 'mln', 'people', 'covid', 'half', 'month', 'screen', 'novel', 'coronavirus', 'infection', 'http']","['central', 'china', 'wuhan', 'test', 'nearly', 'mln', 'people', 'covid', 'half', 'month', 'screen', 'novel', 'coronavirus', 'infection', 'http']",1,1,",screen",",infection",neutral
14,"['opinion', 'china', 'determine', 'open', 'despite', 'covid', 'epidemic', 'http']","['opinion', 'china', 'determine', 'open', 'despite', 'covid', 'epidemic', 'http']",0,1,,",epidemic",negative
15,"['chinese', 'mainland', 'report', 'new', 'domestically', 'transmitted', 'covid', 'case', 'import', 'case', 'report', 'http']","['chinese', 'mainland', 'report', 'new', 'domestically', 'transmitted', 'covid', 'case', 'import', 'case', 'report', 'http']",0,2,,",case,case",negative
16,"['coronavirus', 'watch', 'june', 'http', 'global', 'covid', 'case', 'report', 'top', 'mln', 'u', 'case', 'top', 'mln', 'johns', 'hopkins', 'university', 'chile', 'case', 'exceed', 'death', 'toll', 'hit', 'uk', 'death', 'top', 'another', 'patient', 'die']","['coronavirus', 'watch', 'june', 'http', 'global', 'covid', 'case', 'report', 'top', 'mln', 'u', 'case', 'top', 'mln', 'johns', 'hopkins', 'university', 'chile', 'case', 'exceed', 'death', 'toll', 'hit', 'uk', 'death', 'top', 'another', 'patient', 'die']",3,7,",top,top,top",",case,case,case,death,toll,death,die",negative
17,"['u', 'covid', 'case', 'top', 'million', 'accord', 'johns', 'hopkins', 'university', 'national', 'death', 'toll', 'reach', 'http']","['u', 'covid', 'case', 'top', 'million', 'accord', 'johns', 'hopkins', 'university', 'national', 'death', 'toll', 'reach', 'http']",1,3,",top",",case,death,toll",negative
18,"['realitycheck', 'u', 'fabricate', 'lies', 'shift', 'blame', 'china', 'cover', 'inadequate', 'response', 'covid']","['realitycheck', 'u', 'fabricate', 'lies', 'shift', 'blame', 'china', 'cover', 'inadequate', 'response', 'covid']",0,4,,",fabricate,lies,blame,inadequate",negative
19,"['china', 'inspiration', 'country', 'fight', 'covid', 'say', 'bernard', 'dewit', 'chairman', 'belgian', 'chinese', 'chamber', 'commerce', 'fightvirus']","['china', 'inspiration', 'country', 'fight', 'covid', 'say', 'bernard', 'dewit', 'chairman', 'belgian', 'chinese', 'chamber', 'commerce', 'fightvirus']",1,0,",inspiration",,positive
20,"['latest', 'count', 'confirmed', 'covid', 'case', 'worldwide', 'gmt', 'june', 'johns', 'hopkins', 'university', 'world', 'u', 'brazil', 'russia', 'britain', 'india', 'spain', 'italy', 'peru', 'france', 'germany']","['latest', 'count', 'confirmed', 'covid', 'case', 'worldwide', 'gmt', 'june', 'johns', 'hopkins', 'university', 'world', 'u', 'brazil', 'russia', 'britain', 'india', 'spain', 'italy', 'peru', 'france', 'germany']",0,1,,",case",negative
21,"['peru', 'report', 'new', 'covid', 'infection', 'take', 'national', 'tally', 'http']","['peru', 'report', 'new', 'covid', 'infection', 'take', 'national', 'tally', 'http']",0,2,,",infection,tally",negative
22,"['covid', 'infection', 'chinese', 'mainland', 'wed', 'http', 'imported', 'case', 'shanghai', 'guangdong', 'tianjin', 'fujian', 'domestically', 'transmit', 'case', 'people', 'discharge', 'hospital', 'patient', 'treat', 'confirm', 'case', 'amp', 'death', 'total']","['covid', 'infection', 'chinese', 'mainland', 'wed', 'http', 'imported', 'case', 'shanghai', 'guangdong', 'tianjin', 'fujian', 'domestically', 'transmit', 'case', 'people', 'discharge', 'hospital', 'patient', 'treat', 'confirm', 'case', 'amp', 'death', 'total']",2,5,",discharge,treat",",infection,case,case,case,death",negative
23,"['breaking', 'u', 'covid', 'case', 'surpass', 'million', 'accord', 'johns', 'hopkins', 'university']","['breaking', 'u', 'covid', 'case', 'surpass', 'million', 'accord', 'johns', 'hopkins', 'university']",1,3,",surpass",",breaking,case,surpass",negative
24,"['coordinated', 'disinformation', 'effort', 'stop', 'researcher', 'say', 'kind', 'coordinated', 'disinformation', 'almost', 'entirely', 'right', 'wing', 'phenomenon', 'say', '\\', '\\', 'good', 'coordinated', 'effort', 'fight', 'coronavirus', 'http', 'covid']","['coordinated', 'disinformation', 'effort', 'stop', 'researcher', 'say', 'kind', 'coordinated', 'disinformation', 'almost', 'entirely', 'right', 'wing', 'phenomenon', 'say', '\\', '\\', 'good', 'coordinated', 'effort', 'fight', 'coronavirus', 'http', 'covid']",4,0,",effort,right,good,effort",,positive
25,"['imf', 'chief', 'urge', 'country', 'recognize', 'importance', 'global', 'trade', 'amid', 'covid', 'pandemic', 'guard', 'dramatic', 'retreat', 'globalization', 'http']","['imf', 'chief', 'urge', 'country', 'recognize', 'importance', 'global', 'trade', 'amid', 'covid', 'pandemic', 'guard', 'dramatic', 'retreat', 'globalization', 'http']",0,2,,",pandemic,retreat",negative
26,"['breaking', 'u', 'fed', 'keep', 'interest', 'rate', 'near', 'zero', 'amid', 'covid', 'crisis']","['breaking', 'u', 'fed', 'keep', 'interest', 'rate', 'near', 'zero', 'amid', 'covid', 'crisis']",1,2,",fed",",breaking,crisis",negative
27,"['latest', 'count', 'confirmed', 'covid', 'case', 'gmt', 'june', 'johns', 'hopkins', 'university', 'world', 'us', 'brazil', 'russia', 'britain', 'india', 'spain', 'italy', 'peru', 'france', 'germany', 'iran']","['latest', 'count', 'confirmed', 'covid', 'case', 'gmt', 'june', 'johns', 'hopkins', 'university', 'world', 'us', 'brazil', 'russia', 'britain', 'india', 'spain', 'italy', 'peru', 'france', 'germany', 'iran']",0,1,,",case",negative
28,"['covid', 'research', 'europe', 'could', 'lead', 'first', 'dos', 'vaccine', 'autumn', 'winter', 'italian', 'expert', 'http']","['covid', 'research', 'europe', 'could', 'lead', 'first', 'dos', 'vaccine', 'autumn', 'winter', 'italian', 'expert', 'http']",1,0,",lead",,positive
29,"['china', 'send', 'team', 'medical', 'expert', 'support', 'palestine', 'effort', 'covid', 'pandemic', 'http']","['china', 'send', 'team', 'medical', 'expert', 'support', 'palestine', 'effort', 'covid', 'pandemic', 'http']",2,1,",support,effort",",pandemic",positive
30,"['russia', 'add', 'covid', 'case', 'past', 'hour', 'take', 'total', 'http']","['russia', 'add', 'covid', 'case', 'past', 'hour', 'take', 'total', 'http']",0,1,,",case",negative
31,"['headlines', 'watch', 'slow', 'pandemic', 'minority', 'americas', 'need', 'good', 'access', 'health', 'care', 'http', 'people', 'african', 'descent', 'ethnic', 'minority', 'vulnerable', 'covid', 'structural', 'racism', 'discrimination', 'result', 'health', 'inequity']","['headlines', 'watch', 'slow', 'pandemic', 'minority', 'americas', 'need', 'good', 'access', 'health', 'care', 'http', 'people', 'african', 'descent', 'ethnic', 'minority', 'vulnerable', 'covid', 'structural', 'racism', 'discrimination', 'result', 'health', 'inequity']",1,5,",good",",slow,pandemic,vulnerable,racism,discrimination",negative
32,"['latest', 'count', 'covid', 'case', 'hardest', 'hit', 'country', 'gmt', 'june', 'jhu', 'world', 'u', 'brazil', 'russia', 'uk', 'india', 'spain', 'italy', 'peru', 'france', 'germany', 'iran', 'turkey', 'chile']","['latest', 'count', 'covid', 'case', 'hardest', 'hit', 'country', 'gmt', 'june', 'jhu', 'world', 'u', 'brazil', 'russia', 'uk', 'india', 'spain', 'italy', 'peru', 'france', 'germany', 'iran', 'turkey', 'chile']",0,1,,",case",negative
33,"['un', 'chief', 'warns', 'impend', 'global', 'food', 'emergency', 'amid', 'covid', 'pandemic', 'http']","['un', 'chief', 'warns', 'impend', 'global', 'food', 'emergency', 'amid', 'covid', 'pandemic', 'http']",0,2,,",emergency,pandemic",negative
34,"['france', 'economy', 'course', 'shrink', 'due', 'covid', 'outbreak', 'say', 'country', 'central', 'bank']","['france', 'economy', 'course', 'shrink', 'due', 'covid', 'outbreak', 'say', 'country', 'central', 'bank']",0,1,,",outbreak",negative
35,"['u', 'covid', 'death', 'top', 'johns', 'hopkins', 'university', 'http']","['u', 'covid', 'death', 'top', 'johns', 'hopkins', 'university', 'http']",1,1,",top",",death",neutral
36,"['covid', 'neutralize', 'antibody', 'enters', 'phase', 'clinical', 'trial', 'shanghai', 'http']","['covid', 'neutralize', 'antibody', 'enters', 'phase', 'clinical', 'trial', 'shanghai', 'http']",0,0,,,neutral
37,"['million', 'chinese', 'community', 'worker', 'guard', 'covid', 'say', 'white', 'paper', 'http']","['million', 'chinese', 'community', 'worker', 'guard', 'covid', 'say', 'white', 'paper', 'http']",0,0,,,neutral
38,"['science', 'technology', 'underpin', 'china', 'covid', 'fight', 'white', 'paper', 'http']","['science', 'technology', 'underpin', 'china', 'covid', 'fight', 'white', 'paper', 'http']",0,0,,,neutral
39,"['music', 'food', 'game', 'follow', 'vlog', 'taste', 'buzz', 'vigor', 'vibe', 'shanghai', 'night', 'market', 'covid', 'restriction', 'ease']","['music', 'food', 'game', 'follow', 'vlog', 'taste', 'buzz', 'vigor', 'vibe', 'shanghai', 'night', 'market', 'covid', 'restriction', 'ease']",1,1,",ease",",restriction",neutral
40,"['u', 'fed', 'keep', 'near', 'zero', 'interest', 'rate', 'http', 'sharper', 'downturn', 'slow', 'recovery', 'economic', 'recovery', 'expect', 'last', 'year', 'fed', 'chair', 'suggest', 'congress', 'help', 'unemployed', 'small', 'business', 'owner', 'amid', 'covid', 'crisis']","['u', 'fed', 'keep', 'near', 'zero', 'interest', 'rate', 'http', 'sharper', 'downturn', 'slow', 'recovery', 'economic', 'recovery', 'expect', 'last', 'year', 'fed', 'chair', 'suggest', 'congress', 'help', 'unemployed', 'small', 'business', 'owner', 'amid', 'covid', 'crisis']",6,4,",fed,sharper,recovery,recovery,fed,help",",downturn,slow,unemployed,crisis",positive
41,"['process', 'recruit', 'medical', 'assistant', 'malawi', 'fight', 'covid', 'interrupt', 'due', 'heavy', 'turnout', 'youth', 'seek', 'job', 'http']","['process', 'recruit', 'medical', 'assistant', 'malawi', 'fight', 'covid', 'interrupt', 'due', 'heavy', 'turnout', 'youth', 'seek', 'job', 'http']",0,1,,",interrupt",negative
42,"['brazilian', 'industry', 'see', 'poor', 'monthly', 'performance', 'decade', 'april', 'reflect', 'impact', 'severe', 'lasting', 'reduction', 'demand', 'amid', 'covid', 'pandemic', 'http']","['brazilian', 'industry', 'see', 'poor', 'monthly', 'performance', 'decade', 'april', 'reflect', 'impact', 'severe', 'lasting', 'reduction', 'demand', 'amid', 'covid', 'pandemic', 'http']",0,3,,",poor,severe,pandemic",negative
43,"['china', 'call', 'international', 'community', 'crack', 'disinformation', 'covid', 'pandemic', 'http']","['china', 'call', 'international', 'community', 'crack', 'disinformation', 'covid', 'pandemic', 'http']",0,2,,",crack,pandemic",negative
44,"['chinese', 'medical', 'expert', 'bring', 'hope', 'african', 'country', 'fight', 'covid', 'say', 'francisco', 'pascual', 'obama', 'asue', 'prime', 'minister', 'republic', 'equatorial', 'guinea', 'http']","['chinese', 'medical', 'expert', 'bring', 'hope', 'african', 'country', 'fight', 'covid', 'say', 'francisco', 'pascual', 'obama', 'asue', 'prime', 'minister', 'republic', 'equatorial', 'guinea', 'http']",0,0,,,neutral
45,"['brazil', 'revise', 'late', 'covid', 'death', 'toll', 'caseload', 'new', 'figure', 'bring', 'brazil', 'overall', 'death', 'toll', 'case', 'infection', 'http']","['brazil', 'revise', 'late', 'covid', 'death', 'toll', 'caseload', 'new', 'figure', 'bring', 'brazil', 'overall', 'death', 'toll', 'case', 'infection', 'http']",0,6,,",death,toll,death,toll,case,infection",negative
46,"['medical', 'team', 'send', 'chinese', 'gov', 'arrive', 'bangladesh', 'support', 'fight', 'covid', 'pandemic', 'http']","['medical', 'team', 'send', 'chinese', 'gov', 'arrive', 'bangladesh', 'support', 'fight', 'covid', 'pandemic', 'http']",1,1,",support",",pandemic",neutral
47,"['china', 'sunday', 'issue', 'white', 'paper', 'country', 'battle', 'covid', 'much', 'know', 'china', 'fight', 'covid', 'take', 'quiz', 'find', 'http']","['china', 'sunday', 'issue', 'white', 'paper', 'country', 'battle', 'covid', 'much', 'know', 'china', 'fight', 'covid', 'take', 'quiz', 'find', 'http']",0,1,,",issue",negative
48,"['landmarks', 'across', 'new', 'york', 'state', 'lit', 'blue', 'gold', 'honor', 'new', 'yorkers', 'work', 'flatten', 'curve', 'covid']","['landmarks', 'across', 'new', 'york', 'state', 'lit', 'blue', 'gold', 'honor', 'new', 'yorkers', 'work', 'flatten', 'curve', 'covid']",2,0,",gold,honor",,positive
49,"['coronavirus', 'watch', 'update', 'june', 'http', 'russia', 'case', 'grow', 'new', 'zealand', 'move', 'covid', 'alert', 'level', 'back', 'normal', 'except', 'border', 'control', 'hong', 'kong', 'ocean', 'park', 'disneyland', 'reopen', 'soon', 'book', 'fair', 'schedule', 'july']","['coronavirus', 'watch', 'update', 'june', 'http', 'russia', 'case', 'grow', 'new', 'zealand', 'move', 'covid', 'alert', 'level', 'back', 'normal', 'except', 'border', 'control', 'hong', 'kong', 'ocean', 'park', 'disneyland', 'reopen', 'soon', 'book', 'fair', 'schedule', 'july']",1,1,",fair",",case",neutral
50,"['scholars', 'urge', 'international', 'cooperation', 'fight', 'covid', 'infection', 'worldwide', 'reach', 'million']","['scholars', 'urge', 'international', 'cooperation', 'fight', 'covid', 'infection', 'worldwide', 'reach', 'million']",0,1,,",infection",negative
51,"['officials', 'expert', 'warn', 'u', 'exit', 'would', 'undermine', 'international', 'effort', 'fight', 'covid', 'pandemic', 'guarantee', 'public', 'health', 'save', 'life']","['officials', 'expert', 'warn', 'u', 'exit', 'would', 'undermine', 'international', 'effort', 'fight', 'covid', 'pandemic', 'guarantee', 'public', 'health', 'save', 'life']",3,2,",effort,guarantee,save",",undermine,pandemic",positive
52,"['latest', 'count', 'confirmed', 'covid', 'case', 'worldwide', 'gmt', 'june', 'jhu', 'world', 'u', 'brazil', 'russia', 'uk', 'india', 'spain', 'italy', 'peru', 'france', 'germany', 'iran', 'turkey']","['latest', 'count', 'confirmed', 'covid', 'case', 'worldwide', 'gmt', 'june', 'jhu', 'world', 'u', 'brazil', 'russia', 'uk', 'india', 'spain', 'italy', 'peru', 'france', 'germany', 'iran', 'turkey']",0,1,,",case",negative
